,event_id,event_ts,requester_email,channel,market_raw,issue_type
0,1,2026-01-04 20:49:20,user10174@example.com,DIRECT, España ,HOWTO
1,2,2026-01-17 18:02:31,user10130@alliances.net,PARTNER,United States,BUG
2,3,2026-01-10 22:42:52,user10071@alliances.net,PARTNER,Espa~na,HOWTO
3,4,2026-01-12 07:32:24,user10048@example.com,DIRECT,España,BUG
4,5,2026-01-15 07:48:38,user10002@example.com,DIRECT,Brasil,BILLING
5,6,2026-01-03 03:47:54,user10043@example.com,DIRECT,Brasil,BUG
6,7,2026-01-18 05:17:25,user10062@example.com,DIRECT, Canada,BUG
7,8,2026-01-02 23:26:13,user10193@example.com,DIRECT,Espa~na,LOGIN
8,9,2026-01-02 03:46:57,user10113@reseller.co,PARTNER,UNITED STATES,BUG
9,10,2026-01-14 05:52:26,user10043@example.com,DIRECT,United States,LOGIN
10,11,2026-01-02 20:12:02,user10163@alliances.net,PARTNER, Canada,BILLING
11,12,2026-01-12 05:54:40,user10099@example.com,DIRECT,UNITED STATES,HOWTO
12,13,2026-01-14 04:16:54,user10183@example.com,DIRECT,Mexico,BILLING
13,14,2026-01-01 08:46:50,user10165@example.com,DIRECT,Bra~sil,BILLING
14,15,2026-01-04 19:28:43,user10205@example.com,DIRECT,Mexico,BILLING
15,16,2026-01-11 05:45:33,user10155@example.com,DIRECT,United States,LOGIN
16,17,2026-01-09 13:09:33,user10023@example.com,DIRECT,Espa~na,LOGIN
17,18,2026-01-04 05:54:06,user10121@partner-mail.com,PARTNER, Canada,BILLING
18,19,2026-01-12 22:47:01,user10093@example.com,DIRECT,Me~xico,BILLING
19,20,2026-01-06 22:11:12,user10177@example.com,DIRECT,Bra~sil,LOGIN
20,21,2026-01-10 12:55:07,user10033@example.com,DIRECT,CANADA ,BILLING
21,22,2026-01-02 01:58:04,user10102@example.com,DIRECT, Canada,LOGIN
22,23,2026-01-11 20:48:21,user10181@example.com,DIRECT,Mexico,BILLING
23,24,2026-01-18 20:01:42,user10136@example.com,DIRECT,United States,BILLING
24,25,2026-01-03 11:22:27,user10008@example.com,DIRECT,Bra~sil,BILLING
25,26,2026-01-09 12:50:01,user10180@example.com,DIRECT, España ,HOWTO
26,27,2026-01-03 11:06:11,user10080@example.com,DIRECT,Mexico,HOWTO
27,28,2026-01-12 00:50:47,user10149@example.com,DIRECT, Canada,HOWTO
28,29,2026-01-07 08:42:10,user10143@example.com,DIRECT,Bra~sil,HOWTO
29,30,2026-01-04 03:37:28,user10141@example.com,DIRECT,Espa~na,BUG
30,31,2026-01-05 17:18:01,user10091@example.com,DIRECT,México,LOGIN
31,32,2026-01-07 15:44:20,user10089@example.com,DIRECT,Me~xico,BUG
32,33,2026-01-02 14:49:03,user10022@example.com,DIRECT,Mexico,BUG
33,34,2026-01-12 13:26:31,user10122@example.com,DIRECT,Mexico,HOWTO
34,35,2026-01-06 09:09:15,user10064@example.com,DIRECT,Espana,LOGIN
35,36,2026-01-14 05:48:29,user10087@example.com,DIRECT,Brasil,HOWTO
36,37,2026-01-18 00:18:30,user10036@example.com,DIRECT,CANADA ,HOWTO
37,38,2026-01-17 06:59:30,user10163@example.com,DIRECT,Brasil,HOWTO
38,39,2026-01-09 10:50:46,user10203@example.com,DIRECT,España,BUG
39,40,2026-01-05 22:15:16,user10083@example.com,DIRECT,United States,BUG
40,41,2026-01-07 12:14:43,user10093@example.com,DIRECT,Bra~sil,HOWTO
41,42,2026-01-05 17:41:30,user10102@example.com,DIRECT,CANADA ,LOGIN
42,43,2026-01-15 10:52:33,user10015@example.com,DIRECT,México,BUG
43,44,2026-01-08 15:53:11,user10166@reseller.co,PARTNER,Espana,BILLING
44,45,2026-01-16 09:25:28,user10193@example.com,DIRECT,Espa~na,BILLING
45,46,2026-01-06 22:10:40,user10110@alliances.net,PARTNER,Espa~na,BUG
46,47,2026-01-04 02:28:32,user10013@alliances.net,PARTNER,Espana,BUG
47,48,2026-01-15 05:33:35,user10074@example.com,DIRECT,Espana,BILLING
48,49,2026-01-03 18:41:35,user10034@example.com,DIRECT,Mexico,HOWTO
49,50,2026-01-07 07:54:44,user10181@alliances.net,PARTNER,Bra~sil,BUG
50,51,2026-01-14 14:31:31,user10176@example.com,DIRECT,Me~xico,BILLING
51,52,2026-01-07 20:07:02,user10083@example.com,DIRECT,Mexico,BILLING
52,53,2026-01-15 21:17:36,user10082@example.com,DIRECT,Espana,LOGIN
53,54,2026-01-10 10:34:03,user10185@alliances.net,PARTNER,UNITED STATES,HOWTO
54,55,2026-01-04 06:45:15,user10019@example.com,DIRECT,UNITED STATES,HOWTO
55,56,2026-01-11 10:43:08,user10172@example.com,DIRECT, España ,BUG
56,57,2026-01-04 04:29:44,user10211@example.com,DIRECT,Espa~na,BILLING
57,58,2026-01-07 19:25:13,user10098@partner-mail.com,PARTNER,UNITED STATES,HOWTO
58,59,2026-01-02 23:21:22,user10165@example.com,DIRECT,United States,BILLING
59,60,2026-01-01 23:59:07,user10156@example.com,DIRECT, Canada,LOGIN
60,61,2026-01-01 06:40:11,user10197@example.com,DIRECT, Canada,BUG
61,62,2026-01-14 21:18:06,user10007@example.com,DIRECT, Canada,LOGIN
62,63,2026-01-03 23:43:48,user10155@example.com,DIRECT, Canada,LOGIN
63,64,2026-01-03 18:30:25,user10085@example.com,DIRECT,Brasil,LOGIN
64,65,2026-01-03 14:14:32,user10189@example.com,DIRECT,CANADA ,HOWTO
