customer_name,ticket,region,event_ts,product,priority,event_type,agent,channel,status_before,status_after,tag,handling_seconds
Ethan Wilson,TCKT-100000,Mountain,2025-08-31 13:18:00,Basic,Medium,comment_added,C. Patel,chat,new,new,refund,898
Ethan Wilson,TCKT-100000,Mountain,2025-08-31 16:58:00,Basic,Medium,assigned,B. Rivera,email,new,new,how_to,1491
Ethan Wilson,TCKT-100000,Mountain,2025-08-31 16:58:00,Basic,Medium,comment_added,A. Chen,phone,new,new,account,676
Ethan Wilson,TCKT-100000,Mountain,2025-08-31 17:52:00,Basic,Medium,comment_added,D. Kim,chat,new,new,login,188
Ethan Wilson,TCKT-100000,Mountain,2025-08-31 17:52:00,Basic,Medium,assigned,B. Rivera,email,new,new,account,692
Ethan Wilson,TCKT-100000,Mountain,2025-08-31 17:52:00,Basic,Medium,tag_removed,C. Patel,chat,new,new,refund,717
Ethan Wilson,TCKT-100000,Mountain,2025-08-31 19:15:00,Basic,Medium,assigned,C. Patel,chat,new,new,account,163
Ethan Wilson,TCKT-100000,Mountain,2025-08-31 19:15:00,Basic,Medium,comment_added,F. Singh,web,new,new,how_to,343
Mason Miller,TCKT-100001,Mountain,2025-10-08 20:52:00,Pro,Low,comment_added,D. Kim,phone,new,new,bug,348
Mason Miller,TCKT-100001,Mountain,2025-10-08 20:52:00,Pro,Low,status_changed,B. Rivera,email,new,resolved,refund,590
Mason Miller,TCKT-100001,Mountain,2025-10-08 21:15:00,Pro,Low,assigned,E. Johnson,phone,resolved,resolved,how_to,125
Mason Miller,TCKT-100001,Mountain,2025-10-08 21:15:00,Pro,Low,comment_added,F. Singh,phone,resolved,resolved,login,326
Mason Miller,TCKT-100001,Mountain,2025-10-08 21:32:00,Pro,Low,comment_added,D. Kim,email,resolved,resolved,bug,226
Mason Miller,TCKT-100001,Mountain,2025-10-08 23:13:00,Pro,Low,comment_added,A. Chen,phone,resolved,resolved,feature_request,1343
Mason Thomas,TCKT-100002,Northeast,2025-11-28 07:00:00,Basic,High,tag_added,G. Nguyen,email,new,new,account,1244
Mason Thomas,TCKT-100002,Northeast,2025-11-28 09:30:00,Basic,High,tag_removed,D. Kim,phone,new,new,bug,1786
Mason Thomas,TCKT-100002,Northeast,2025-11-28 11:51:00,Basic,High,status_changed,E. Johnson,email,new,resolved,refund,340
Mason Thomas,TCKT-100002,Northeast,2025-11-28 13:19:00,Basic,High,assigned,F. Singh,chat,resolved,resolved,feature_request,264
Mason Thomas,TCKT-100002,Northeast,2025-11-28 13:48:00,Basic,High,tag_removed,B. Rivera,chat,resolved,resolved,login,190
Mason Thomas,TCKT-100002,Northeast,2025-11-28 13:48:00,Basic,High,comment_added,A. Chen,web,resolved,resolved,billing,406
Mia Garcia,TCKT-100003,Mountain,2025-09-17 21:32:00,Pro,High,status_changed,F. Singh,phone,new,closed,refund,860
Mia Garcia,TCKT-100003,Mountain,2025-09-17 21:32:00,Pro,High,comment_added,G. Nguyen,web,closed,closed,how_to,16
Mia Garcia,TCKT-100003,Mountain,2025-09-17 21:32:00,Pro,High,tag_added,F. Singh,chat,closed,closed,billing,1259
Mia Garcia,TCKT-100003,Mountain,2025-09-18 00:03:00,Pro,High,comment_added,G. Nguyen,email,closed,closed,login,949
Mia Garcia,TCKT-100003,Mountain,2025-09-18 00:03:00,Pro,High,tag_removed,E. Johnson,email,closed,closed,refund,476
Mia Garcia,TCKT-100003,Mountain,2025-09-18 00:03:00,Pro,High,tag_added,D. Kim,chat,closed,closed,login,915
Mia Garcia,TCKT-100003,Mountain,2025-09-18 02:43:00,Pro,High,tag_added,B. Rivera,phone,closed,closed,refund,1156
Mia Garcia,TCKT-100003,Mountain,2025-09-18 05:38:00,Pro,High,tag_added,C. Patel,phone,closed,closed,billing,1556
Mia Garcia,TCKT-100004,South,2025-09-12 02:44:00,Basic,Low,comment_added,E. Johnson,phone,new,new,billing,19
Mia Garcia,TCKT-100004,South,2025-09-12 02:44:00,Basic,Low,tag_removed,E. Johnson,email,new,new,bug,897
Mia Garcia,TCKT-100004,South,2025-09-12 02:44:00,Basic,Low,tag_added,G. Nguyen,email,new,new,account,1680
Mia Garcia,TCKT-100004,South,2025-09-12 04:53:00,Basic,Low,comment_added,C. Patel,email,new,new,bug,893
Mia Garcia,TCKT-100004,South,2025-09-12 04:53:00,Basic,Low,assigned,B. Rivera,chat,new,new,account,1585
Mia Garcia,TCKT-100004,South,2025-09-12 07:38:00,Basic,Low,assigned,G. Nguyen,chat,new,new,login,77
Ava Miller,TCKT-100005,West,2025-12-11 05:57:00,Pro,High,status_changed,C. Patel,phone,new,open,feature_request,659
Ava Miller,TCKT-100005,West,2025-12-11 05:57:00,Pro,High,assigned,E. Johnson,email,open,open,billing,504
Ava Miller,TCKT-100005,West,2025-12-11 05:57:00,Pro,High,tag_added,B. Rivera,email,open,open,how_to,1455
Ava Miller,TCKT-100005,West,2025-12-11 09:45:00,Pro,High,status_changed,F. Singh,web,open,resolved,how_to,687
Ava Miller,TCKT-100005,West,2025-12-11 13:24:00,Pro,High,status_changed,G. Nguyen,web,resolved,new,how_to,1644
Ava Miller,TCKT-100005,West,2025-12-11 13:24:00,Pro,High,assigned,D. Kim,email,new,new,feature_request,1386
Ava Miller,TCKT-100005,West,2025-12-11 14:49:00,Pro,High,comment_added,F. Singh,chat,new,new,refund,259
Mia Anderson,TCKT-100006,West,2025-10-06 04:08:00,Pro,Medium,comment_added,F. Singh,phone,new,new,account,239
Mia Anderson,TCKT-100006,West,2025-10-06 07:36:00,Pro,Medium,comment_added,G. Nguyen,email,new,new,bug,832
Mia Anderson,TCKT-100006,West,2025-10-06 07:36:00,Pro,Medium,tag_removed,D. Kim,email,new,new,account,970
Mia Anderson,TCKT-100006,West,2025-10-06 07:36:00,Pro,Medium,status_changed,B. Rivera,chat,new,open,feature_request,1688
